   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11683-00-00  ,  Cobb 1270  ,  Greenway Energy LLC  ,1999,0.00,1600.00,6.00,12, GD , 
   31-013-18455-00-00  ,  Cobb; B 1  ,  Greenway Energy LLC  ,1999,0.00,1634.00,0.00,12, GD , 
   31-013-17942-00-00  ,  Cobb; R 1  ,  Greenway Energy LLC  ,1999,0.00,834.00,0.00,12, GD , 
   31-013-17847-00-00  ,  Cochran 670  ,  Schreiner Oil and Gas Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-12805-00-00  ,  Cochran WN-1644  ,  Stedman Energy Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-16974-00-00  ,  Cochran; J 1  ,  Greenway Energy LLC  ,1999,0.00,1957.00,0.00,12, GD , 
   31-013-13021-00-00  ,  Cochrane Farms 1  ,  Greenway Energy LLC  ,1999,0.00,1527.00,0.00,12, GD , 
   31-013-13118-00-00  ,  Cochrane Farms 2  ,  Greenway Energy LLC  ,1999,0.00,143.00,0.00,12, GD , 
   31-013-13119-00-00  ,  Cochrane Farms 3  ,  Greenway Energy LLC  ,1999,0.00,1309.00,0.00,12, GD , 
   31-013-13120-00-00  ,  Cochrane Farms 4  ,  Greenway Energy LLC  ,1999,0.00,1357.00,0.00,12, GD , 
   31-013-13121-00-00  ,  Cochrane Farms 5  ,  Greenway Energy LLC  ,1999,0.00,740.00,0.00,12, GD , 
   31-013-14355-00-00  ,  Cochrane; I 1  ,  Greenway Energy LLC  ,1999,0.00,128.00,0.00,12, GD , 
   31-013-14356-00-00  ,  Cochrane; I 2  ,  Greenway Energy LLC  ,1999,0.00,786.00,0.00,12, GD , 
   31-013-14631-00-00  ,  Cochrane; I 3  ,  Greenway Energy LLC  ,1999,0.00,1349.00,0.00,12, GD , 
   31-013-11431-00-00  ,  Coe 314  ,  Greenway Energy LLC  ,1999,0.00,140.00,0.00,12, GD , 
   31-013-16443-00-00  ,  Coe; D.S.NY-0003  ,  PPP Future Development Inc.  ,1999,0.00,860.00,5.00,7, GD , 
   31-003-00384-00-00  ,  Col Henrietta 1 513  ,  Cunningham Natural Gas Corp.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-20217-00-00  ,  Colander/Johnson 1-334  ,  K. Petroleum Inc.  ,1999,0.00,932.00,75.00,12, GD , 
   31-013-20201-00-00  ,  Colander/Johnson 2-335  ,  K. Petroleum Inc.  ,1999,0.00,2160.00,0.00,12, GD , 
   31-029-15401-00-00  ,  Colarusso 846  ,  Schreiner Oil and Gas Inc.  ,1999,0.00,20.00,0.00,12, GD , 
   31-029-15402-00-00  ,  Colarusso 849  ,  Schreiner Oil and Gas Inc.  ,1999,0.00,20.00,0.00,12, GD , 
   31-009-16526-00-00  ,  Colburn 1  ,  PPP Future Development Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-18345-00-00  ,  Colburn; G 1  ,  Greenway Energy LLC  ,1999,0.00,3506.00,0.00,12, GD , 
   31-029-10836-00-00  ,  Colby 1  ,  Summers Esther B.  ,1999,0.00,0.00,0.00,12, GD , 
   31-013-19925-00-00  ,  Cold Spring Constr. 1  ,  Greenway Energy LLC  ,1999,0.00,4317.00,0.00,12, GD , 
   31-013-20876-00-00  ,  Cold Spring Constr. 2  ,  Greenway Energy LLC  ,1999,0.00,6681.00,0.00,12, GD , 
   31-013-17800-00-00  ,  Cole; R 1  ,  Greenway Energy LLC  ,1999,0.00,2279.00,0.00,12, GD , 
   31-101-17488-00-00  ,  Coleman 1  ,  SWEPI LP  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-14775-00-00  ,  Coleman; H 1  ,  Greenway Energy LLC  ,1999,0.00,78.00,0.00,12, GD , 
   31-013-14776-00-00  ,  Coleman; H 2  ,  Greenway Energy LLC  ,1999,0.00,4484.00,0.00,12, GD , 
   31-013-14779-00-00  ,  Coleman; H 3  ,  Greenway Energy LLC  ,1999,0.00,23.00,0.00,12, GD , 
   31-013-20763-00-00  ,  Coleman; H 4  ,  Greenway Energy LLC  ,1999,0.00,1448.00,0.00,12, GD , 
   31-013-15457-00-00  ,  Colgrove 1-A  ,  Stedman Energy Inc.  ,1999,0.00,636.00,0.00,12, GD , 
   31-029-20018-00-00  ,  Colosanti; C 1  ,  Alden Aurora Gas Company Inc.  ,1999,0.00,1178.00,0.00,10, GD , 
   31-013-10109-00-00  ,  Colt Alvin 1  ,  Greenway Energy LLC  ,1999,0.00,3094.00,0.00,12, GD , 
   31-029-20913-00-00  ,  Columbo 1  ,  Pan Energy Company Inc.  ,1999,0.00,4987.00,0.00,12, GD , 
   31-029-20744-00-00  ,  Columbo 2  ,  Pan Energy Company Inc.  ,1999,0.00,631.00,0.00,7, GD , 
   31-013-10095-00-00  ,  Colvin; M D 1  ,  Greenway Energy LLC  ,1999,0.00,6568.00,0.00,12, GD , 
   31-013-20107-00-00  ,  Combs 2  ,  PPP Future Development Inc.  ,1999,0.00,566.00,0.00,12, GD , 
   31-013-17152-00-00  ,  Condon 2-A  ,  PPP Future Development Inc.  ,1999,0.00,426.00,0.00,12, GD , 
   31-013-17750-00-00  ,  Condon 2-B  ,  PPP Future Development Inc.  ,1999,0.00,291.00,0.00,12, GD , 
   31-013-16460-00-00  ,  Condon NY 4  ,  Kastle Resources Enterprises Inc.  ,1999,0.00,1123.00,0.00,12, GD , 
   31-013-18903-00-00  ,  Condon; J 1  ,  Greenway Energy LLC  ,1999,0.00,551.00,0.00,12, GD , 
   31-037-10387-00-00  ,  Cone 1  ,  Cone Ronald M.  ,1999,0.00,255.00,0.00,12, GD , 
   31-009-17293-00-00  ,  Congdon NY 100  ,  Kastle Resources Enterprises Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-037-17506-00-00  ,  Conkling 1  ,  United States Gypsum Company  ,1999,0.00,2669.00,40.00,12, GD , 
   31-013-16584-00-00  ,  Conley 1  ,  PPP Future Development Inc.  ,1999,0.00,200.00,0.00,9, GD , 
   31-013-22137-00-00  ,  Connelly 2 7185  ,  PPP Future Development Inc.  ,1999,0.00,4769.00,0.00,12, GD , 
   31-013-12773-00-00  ,  Connelly; J 1  ,  Greenway Energy LLC  ,1999,0.00,2144.00,0.00,12, GD , 
   31-121-17601-00-00  ,  Conrad 1  ,  United States Gypsum Company  ,1999,0.00,2785.00,0.00,12, GD , 
   31-013-11052-00-00  ,  Conti 2  ,  Greenway Energy LLC  ,1999,0.00,1123.00,107.00,12, GD , 
   31-013-11113-00-00  ,  Conti Bros 1193  ,  Greenway Energy LLC  ,1999,0.00,415.00,0.00,12, GD , 
   31-013-11121-00-00  ,  Conti Bros. 4  ,  Greenway Energy LLC  ,1999,0.00,1776.00,180.00,8, GD , 
   31-013-10947-00-00  ,  Conti Brothers #1180  ,  P&H Gas LLC  ,1999,0.00,0.00,0.00,12, GD , 
   31-013-02749-00-00  ,  Coogan(Elliot W)1956-I  ,  Seneca Resources Corporation  ,1999,0.00,1313.00,11.00,12, GD , 
   31-107-21272-00-00  ,  Cook 01  ,  Stagecoach Pipeline & Storage Company LLC  ,1999,0.00,39925.00,0.00,12, GD , 
   31-013-18993-00-00  ,  Cook 1  ,  PPP Future Development Inc.  ,1999,0.00,200.00,0.00,12, GD , 
   31-013-18815-00-00  ,  Cook 2  ,  PPP Future Development Inc.  ,1999,0.00,200.00,0.00,1, GD , 
   31-051-16141-00-00  ,  Cooney 69  ,  PXG Energy LLC  ,1999,0.00,1422.00,0.00,12, GD , 
   31-013-19840-00-00  ,  Coons; F. 1  ,  PPP Future Development Inc.  ,1999,0.00,3295.00,0.00,12, GD , 
   31-013-16888-00-00  ,  Coons; G. 1  ,  PPP Future Development Inc.  ,1999,0.00,2149.00,0.00,12, GD , 
   31-009-17239-00-00  ,  Cooper 225  ,  Nucomer Energy LLC  ,1999,0.00,1049.00,34.00,12, GD , 
   31-013-18273-00-00  ,  Cooper 699  ,  Greenway Energy LLC  ,1999,0.00,72.00,0.00,12, GD , 
   31-013-17203-00-00  ,  Cooper; J 1  ,  Greenway Energy LLC  ,1999,0.00,2090.00,0.00,12, GD , 
   31-013-17217-00-00  ,  Cooper; J 2  ,  Greenway Energy LLC  ,1999,0.00,2179.00,0.00,12, GD , 
   31-013-17664-00-00  ,  Cooper; J 3  ,  Greenway Energy LLC  ,1999,0.00,1741.00,0.00,12, GD , 
   31-013-17218-00-00  ,  Cooper; J 4  ,  Greenway Energy LLC  ,1999,0.00,530.00,0.00,12, GD , 
   31-013-17249-00-00  ,  Cooper; J 5  ,  Greenway Energy LLC  ,1999,0.00,2654.00,0.00,12, GD , 
   31-013-17277-00-00  ,  Cooper; J 6  ,  Greenway Energy LLC  ,1999,0.00,2536.00,0.00,12, GD , 
   31-009-14448-00-00  ,  Corbett 1b  ,  PPP Future Development Inc.  ,1999,0.00,489.00,0.00,12, GD , 
   31-013-11897-00-00  ,  Cornell 423  ,  Greenway Energy LLC  ,1999,0.00,891.00,7.00,12, GD , 
   31-013-14618-00-00  ,  Cornell; G 1  ,  Greenway Energy LLC  ,1999,0.00,526.00,0.00,12, GD , 
   31-013-17661-00-00  ,  Cornell-Wise 1  ,  PPP Future Development Inc.  ,1999,0.00,1930.00,520.00,12, GD , 
   31-101-21714-00-00  ,  Corning Enterprises 1  ,  Corning Incorporated  ,1999,0.00,1293.00,0.00,3, GD , 
   31-029-04864-00-00  ,  Cornwell 51  ,  Alden Aurora Gas Company Inc.  ,1999,0.00,992.00,0.00,12, GD , 
   31-121-04008-00-00  ,  Cornwell 757  ,  PPP Future Development Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-12989-00-00  ,  Costello 1  ,  U. S. Energy Development Corporation  ,1999,0.00,351.00,0.00,5, GD , 
   31-011-20663-00-00  ,  Costello 1068-1  ,  Greenway Energy LLC  ,1999,0.00,1902.00,566.00,7, GD , 
   31-011-20664-00-00  ,  Costello 1101-2  ,  Minard Run Oil Company  ,1999,0.00,1388.00,0.00,12, GD , 
   31-003-00387-00-00  ,  Costello; M 1  ,  National Fuel Gas Supply Corporation  ,1999,0.00,0.00,0.00,0, GD , 
   31-015-04222-00-00  ,  Cotton & Hanlon 1  ,  Potter-Mckean Resources Inc  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-17649-00-00  ,  Cotton 1 Ed2  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,250.00,0.00,6, GD , 
   31-037-20549-00-00  ,  Coughlin 1 (6754)  ,  PXG Energy LLC  ,1999,0.00,39.00,0.00,11, GD , 
   31-009-05327-00-00  ,  Country Side Fee 1  ,  Country Side Sand & Gravel Inc  ,1999,0.00,20.00,0.00,12, GD , 
   31-009-21131-00-00  ,  Countryside 1  ,  Greenridge Oil Company LLC  ,1999,0.00,430.00,0.00,12, GD , 
   31-009-17210-00-00  ,  Countryside Gravel 231  ,  Greenridge Oil Company LLC  ,1999,0.00,1842.00,77.00,12, GD , 
   31-009-22626-00-00  ,  Countryside Sand & Gravel 2  ,  Pefley Oil & Gas Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-029-13309-00-00  ,  County Line 2  ,  County Line Stone Co. Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-099-19589-00-00  ,  Covert 1 (4137)  ,  Covert Christopher P.  ,1999,0.00,0.00,0.00,12, GD , 
   31-101-21689-01-00  ,  Covert 622302-A  ,  Chesapeake Appalachia LLC  ,1999,0.00,327319.00,96.00,12, GD , 
   31-101-22768-00-00  ,  Covert 623222  ,  Chesapeake Appalachia LLC  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-17681-00-00  ,  Covey 1  ,  PPP Future Development Inc.  ,1999,0.00,849.00,1.00,4, GD , 
   31-029-20266-00-00  ,  Cowan; F. Unit 1  ,  Town of Newstead  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-15522-00-00  ,  Cowen 1  ,  PPP Future Development Inc.  ,1999,0.00,3359.00,0.00,12, GD , 
   31-013-17878-00-00  ,  Cowen 2  ,  PPP Future Development Inc.  ,1999,0.00,443.00,0.00,12, GD , 
   31-013-15523-00-00  ,  Cowen 3  ,  PPP Future Development Inc.  ,1999,0.00,805.00,0.00,12, GD , 
   31-009-17197-00-00  ,  Cowen 4  ,  PPP Future Development Inc.  ,1999,0.00,487.00,0.00,12, GD , 
   31-013-17812-00-00  ,  Cowen 5  ,  PPP Future Development Inc.  ,1999,0.00,701.00,0.00,12, GD , 
