   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-003-67507-00-00  ,  Sloan w12  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67508-00-00  ,  Sloan w13  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67509-00-00  ,  Sloan w14  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67510-00-00  ,  Sloan W15  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67511-00-00  ,  Sloan w16  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67512-00-00  ,  Sloan w17  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67513-00-00  ,  Sloan w18  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67514-00-00  ,  Sloan w19  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67515-00-00  ,  Sloan w20  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Enhanced Oil Recovery - Injection, 
   31-003-67504-00-00  ,  Sloan w4  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-121-17724-00-00  ,  Sloand 1  ,  United States Gypsum Company  ,2009,0.00,1259.00,0.00,12,Gas Development, 
   31-013-11457-00-00  ,  Slominski 270  ,  Greenway Energy LLC  ,2009,0.00,1538.00,0.00,12,Gas Development, 
   31-013-11961-00-00  ,  Sly 1266  ,  Greenway Energy LLC  ,2009,0.00,670.00,0.00,11,Gas Development, 
   31-013-17174-00-00  ,  Smallback NY 31  ,  PPP Future Development Inc.  ,2009,,677.00,0.00,12,Gas Development, 
   31-013-12496-00-00  ,  Smallback NY 37  ,  PPP Future Development Inc.  ,2009,,1060.00,0.00,12,Gas Development, 
   31-013-12510-00-00  ,  Smallback NY 38  ,  PPP Future Development Inc.  ,2009,,1830.00,0.00,12,Gas Development, 
   31-013-17880-00-00  ,  Smallback NY 82  ,  PPP Future Development Inc.  ,2009,,925.00,0.00,12,Gas Development, 
   31-037-02920-00-00  ,  Smead 1  ,  Unknown  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-037-02191-00-00  ,  Smead 3  ,  East View Farms Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-009-23326-00-00  ,  Smeader 1  ,  Greenway Energy LLC  ,2009,0.00,1847.00,0.00,11,Gas Development, 
   31-009-23327-00-00  ,  Smeader 2  ,  Greenway Energy LLC  ,2009,0.00,1618.00,0.00,11,Gas Development, 
   31-037-20441-00-00  ,  Smigelski; C. 1  ,  United States Gypsum Company  ,2009,0.00,950.00,20.00,12,Gas Extension, 
   31-013-15484-00-00  ,  Smistek  ,  Stedman Energy Inc.  ,2009,0.00,1960.00,0.00,12,Gas Development, 
