   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-037-16148-00-00  ,  Carroll 1  ,  Alden Aurora Gas Company Inc.  ,1991,0.00,7321.00,0.00,12, GD , 
   31-013-20084-00-00  ,  Carroll Rod & Gun Cl 1  ,  The Carroll Rod & Gun Club Inc. of Frewsburg NY  ,1991,0.00,0.00,0.00,0, GD , 
   31-009-11479-00-00  ,  Carroll; A 20220-T  ,  Bognar William P.  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-16250-00-00  ,  Carter 1  ,  Stedman Energy Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-18084-00-00  ,  Caruso 1 (1571)  ,  Stedman Energy Inc.  ,1991,0.00,2612.00,0.00,6, GD , 
   31-013-18007-00-00  ,  Carutis 1  ,  PPP Future Development Inc.  ,1991,0.00,6677.00,461.00,12, GD , 
   31-013-10915-00-00  ,  Carutis Ed + Mildred 1  ,  PPP Future Development Inc.  ,1991,0.00,4880.00,150.00,12, GD , 
   31-013-17765-00-00  ,  Carutis; G 1  ,  N.E.A. Cross of N.Y. Inc.  ,1991,0.00,407.00,16.00,3, GD , 
   31-013-10393-00-00  ,  Case 1 Unit 71  ,  Greenway Energy LLC  ,1991,0.00,12.00,8.00,1, GD , 
   31-011-19642-00-00  ,  Case Unit 425-1  ,  Meridian Exploration Corp.  ,1991,0.00,140.00,0.00,3, GD , 
   31-011-19643-00-00  ,  Case Unit 426-2  ,  Meridian Exploration Corp.  ,1991,0.00,140.00,0.00,3, GD , 
   31-029-17183-00-00  ,  Cash 1  ,  Pefley Oil & Gas Inc.  ,1991,0.00,3040.00,0.00,9, GD , 
   31-013-11032-00-00  ,  Cash 516  ,  TGX Corp.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-09196-00-00  ,  Cash Arthur 1  ,  Greenway Energy LLC  ,1991,0.00,1108.00,0.00,12, GD , 
   31-037-20686-00-00  ,  Cashmore 1  ,  Stedman Energy Inc.  ,1991,0.00,4317.00,0.00,12, GD , 
   31-013-17685-00-00  ,  Cass; W 1  ,  Greenway Energy LLC  ,1991,0.00,3236.00,0.00,12, GD , 
   31-037-15624-00-00  ,  Castano 1  ,  Alden Aurora Gas Company Inc.  ,1991,0.00,3185.00,0.00,12, GD , 
   31-013-11787-00-00  ,  Castile Heights 1  ,  Pelletter James J & Weist Richard M  ,1991,0.00,133.00,16.00,12, GD , 
   31-013-12988-00-00  ,  Castilone 1  ,  PPP Future Development Inc.  ,1991,0.00,0.00,0.00,11, GD , 
   31-029-20891-00-00  ,  Castle 1  ,  Stedman Energy Inc.  ,1991,0.00,5405.00,50.00,12, GD , 
   31-123-20562-00-00  ,  Castner 1  ,  PPP Future Development Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-11348-00-00  ,  Catalano 1  ,  Turnbull Gas LLC  ,1991,0.00,3530.00,6.00,12, GD , 
   31-013-12942-00-00  ,  Catania 1  ,  Greenway Energy LLC  ,1991,0.00,2918.00,20.00,12, GD , 
   31-013-11369-00-00  ,  Catania 3  ,  Ripley State Line Truck Stop Inc.  ,1991,0.00,100.00,0.00,0, GD , 
   31-013-12731-00-00  ,  Catania-Mancuso Unit 101  ,  PPP Future Development Inc.  ,1991,0.00,1221.00,0.00,11, GD , 
   31-069-02329-00-00  ,  Caulkins 1  ,  Granby & Hemenway Gas Co. Inc  ,1991,0.00,0.00,0.00,2, GD , 
   31-013-11005-00-00  ,  Cave 1  ,  Greenway Energy LLC  ,1991,0.00,2897.00,0.00,12, GD , 
   31-013-12362-00-00  ,  Cave; T 1  ,  PPP Future Development Inc.  ,1991,0.00,5270.00,728.00,12, OD , 
   31-029-13688-00-00  ,  Cayuga Heights 203  ,  Weil Resources Inc.  ,1991,0.00,1247.00,0.00,12, GD , 
