   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11472-00-00  ,  Christy Farms 1225  ,  Greenway Energy LLC  ,1988,0.00,1294.00,33.00,12, GD , 
   31-013-15409-00-00  ,  Church 1  ,  Greenway Energy LLC  ,1988,0.00,5331.00,59.00,11, GD , 
   31-013-11000-00-00  ,  Chylinski 179  ,  Greenway Energy LLC  ,1988,0.00,2534.00,0.00,9, GD , 
   31-013-10999-00-00  ,  Chylinski 182  ,  Greenway Energy LLC  ,1988,0.00,1051.00,46.00,7, GD , 
   31-013-09963-00-00  ,  Chylinski Raymond V 1  ,  Greenway Energy LLC  ,1988,0.00,4058.00,2.00,10, GD , 
   31-037-10606-00-00  ,  Cieszki 1  ,  Reserve Gas Company Inc.  ,1988,0.00,344.00,0.00,9, GD , 
   31-013-11313-00-00  ,  Cimasi 1  ,  PPP Future Development Inc.  ,1988,0.00,1803.00,0.00,0, GD , 
   31-013-10957-00-00  ,  Ciminello 1  ,  Greenway Energy LLC  ,1988,0.00,2247.00,8.00,12, GD , 
   31-013-12339-00-00  ,  Ciminello 451  ,  Ciminello Angeline  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-20150-00-00  ,  Ciminesi 1  ,  Stedman Energy Inc.  ,1988,0.00,4143.00,100.00,12, GD , 
   31-013-10564-00-00  ,  Cimmasi (Cliffstar) 1143  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-11918-00-00  ,  Civiletto 1  ,  Civiletto George & Wendy  ,1988,0.00,2654.00,30.00,6, GD , 
   31-013-11774-00-00  ,  Civiletto 1264  ,  Greenway Energy LLC  ,1988,0.00,3702.00,0.00,10, GD , 
   31-013-11920-00-00  ,  Civiletto 3  ,  Tuscany Deli & Meats Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-14557-00-00  ,  Clancy 594  ,  Greenway Energy LLC  ,1988,0.00,9687.00,78.00,11, GD , 
   31-013-14558-00-00  ,  Clancy 595  ,  Greenway Energy LLC  ,1988,0.00,6564.00,137.00,11, GD , 
   31-013-13256-00-00  ,  Clark 1  ,  PPP Future Development Inc.  ,1988,0.00,693.00,0.00,10, GD , 
   31-051-17503-00-00  ,  Clark 238  ,  PXG Energy LLC  ,1988,0.00,3237.00,76.00,12, GD , 
   31-013-12276-00-00  ,  Clark 458  ,  Greenway Energy LLC  ,1988,0.00,2182.00,22.00,12, GD , 
   31-029-11975-00-00  ,  Clark N1499  ,  PPP Future Development Inc.  ,1988,0.00,1197.00,0.00,12, GD , 
   31-013-17626-00-00  ,  Clark; A 1  ,  PPP Future Development Inc.  ,1988,0.00,44608.00,150.00,12, GD , 
   31-037-20642-00-00  ,  Clark; E & B 1  ,  United States Gypsum Company  ,1988,0.00,0.00,0.00,0, GD , 
