   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-011-16123-00-00  ,  Adams 780-2  ,  A.D.C.O. Well Services Inc.  ,1987,0.00,10544.00,0.00,12,Not Listed, 
   31-009-18429-00-00  ,  Adams; K 1  ,  Greenway Energy LLC  ,1987,0.00,9387.00,0.00,12,Not Listed, 
   31-013-16462-00-00  ,  Adamson; W 1  ,  PPP Future Development Inc.  ,1987,0.00,4246.00,0.00,0,Not Listed, 
   31-029-15301-00-00  ,  Adeline Decarlo-3  ,  PPP Future Development Inc.  ,1987,0.00,1407.00,0.00,12,Not Listed, 
   31-099-20428-00-00  ,  Adler 1 (4161)  ,  Greenway Energy LLC  ,1987,0.00,11339.00,0.00,11,Not Listed, 
   31-099-20430-00-00  ,  Adler 2 (4162)  ,  Greenway Energy LLC  ,1987,0.00,10618.00,0.00,11,Not Listed, 
   31-029-17040-00-00  ,  Agle 1  ,  Stedman Energy Inc.  ,1987,0.00,14386.00,45.00,12,Not Listed, 
   31-013-14307-00-00  ,  Ahlgren 6649  ,  Greenway Energy LLC  ,1987,0.00,2694.00,16.00,10,Not Listed, 
   31-013-15462-00-00  ,  Ahlstrom 1  ,  PPP Future Development Inc.  ,1987,0.00,133.00,0.00,6,Not Listed, 
   31-013-16908-00-00  ,  Aiken Unit 1  ,  PPP Future Development Inc.  ,1987,0.00,7630.00,100.00,12,Not Listed, 
   31-013-17223-00-00  ,  Aiken; C 1  ,  Aikens Scott E.  ,1987,0.00,3907.00,2.00,12,Not Listed, 
   31-013-17285-00-00  ,  Aiken; J 1  ,  Greenway Energy LLC  ,1987,0.00,9579.00,0.00,12,Not Listed, 
   31-013-13746-00-00  ,  Akin 1  ,  Petroleum Evaluation and Management Co. Inc  ,1987,0.00,503.00,0.00,8,Not Listed, 
   31-013-13881-00-00  ,  Akin 2  ,  Greenway Energy LLC  ,1987,0.00,28144.00,0.00,12,Not Listed, 
   31-037-17365-00-00  ,  Akron 1  ,  United States Gypsum Company  ,1987,0.00,4362.00,30.00,12,Not Listed, 
   31-029-16603-00-00  ,  Albrecht 1  ,  Earsing Mary E.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-029-07245-00-00  ,  Albro(Jensen) 369-I  ,  PPP Future Development Inc.  ,1987,0.00,1509.00,60.00,12,Not Listed, 
   31-013-13546-00-00  ,  Alday; F 1  ,  Greenway Energy LLC  ,1987,0.00,2297.00,0.00,12,Not Listed, 
   31-013-15397-00-00  ,  Alday; J 1  ,  Greenway Energy LLC  ,1987,0.00,13629.00,125.00,12,Not Listed, 
   31-013-15452-00-00  ,  Alday; J 2  ,  Greenway Energy LLC  ,1987,0.00,10322.00,0.00,12,Not Listed, 
   31-029-19272-00-00  ,  Alden Central School 1  ,  Alden Central School District  ,1987,0.00,1688.00,0.00,0,Not Listed, 
   31-013-12643-00-00  ,  Aldewein 1  ,  Greenway Energy LLC  ,1987,0.00,2924.00,0.00,11,Not Listed, 
   31-013-14859-00-00  ,  Aldewein Acres 1  ,  Greenway Energy LLC  ,1987,0.00,2706.00,0.00,8,Not Listed, 
   31-013-14860-00-00  ,  Aldewein Acres 2  ,  Greenway Energy LLC  ,1987,0.00,1855.00,0.00,8,Not Listed, 
   31-013-14861-00-00  ,  Aldewein Acres 3  ,  Greenway Energy LLC  ,1987,0.00,3820.00,0.00,9,Not Listed, 
   31-029-18708-00-00  ,  Aldinger 1  ,  Aldinger Naomi R.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-029-18709-00-00  ,  Aldinger 2  ,  Aldinger Naomi R.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-01194-00-00  ,  Aldrich I-2062  ,  National Fuel Gas Supply Corporation  ,1987,0.00,734.00,0.00,12,Not Listed, 
   31-009-17107-00-00  ,  Aldrow;L 2  ,  Transfuel Resources Co.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-16547-00-00  ,  Alexander 1  ,  PPP Future Development Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-20204-00-00  ,  Alexander/Rundell 1-332  ,  K. Petroleum Inc.  ,1987,0.00,69908.00,3780.00,12,Not Listed, 
   31-003-16203-00-00  ,  Alfred University 1  ,  GFS Energy Inc.  ,1987,0.00,3492.00,700.00,5, GD , 
   31-029-18942-00-00  ,  Ali 1  ,  Alden Aurora Gas Company Inc.  ,1987,0.00,10375.00,0.00,12,Not Listed, 
   31-029-20034-00-00  ,  Alice Bauer 1  ,  Stedman Energy Inc.  ,1987,0.00,946.00,0.00,4,Not Listed, 
   31-029-63745-00-00  ,  All Saints Lutheran Church 1  ,  All Saints Lutheran Church  ,1987,0.00,3326.00,20.00,12,Not Listed, 
   31-003-16227-00-00  ,  Allegany BOCES 1  ,  Cat/Al/Er/Wy BOCES  ,1987,0.00,468.00,0.00,12,Not Listed, 
   31-009-17212-00-00  ,  Allen 1  ,  Greenway Energy LLC  ,1987,0.00,2699.00,0.00,12,Not Listed, 
   31-009-16964-00-00  ,  Allen; W 1  ,  Greenway Energy LLC  ,1987,0.00,10236.00,0.00,10,Not Listed, 
   31-013-13279-00-00  ,  Allenbrand 548  ,  PPP Future Development Inc.  ,1987,0.00,856.00,8.00,11,Not Listed, 
   31-013-13280-00-00  ,  Allenbrand; A 1 (547)  ,  TGX Corp.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-16371-00-00  ,  Allnatt NY 24  ,  PPP Future Development Inc.  ,1987,0.00,5543.00,0.00,7,Not Listed, 
   31-013-16539-00-00  ,  Allnatt R 3  ,  Kastle Resources Enterprises Inc.  ,1987,0.00,1763.00,0.00,7,Not Listed, 
   31-121-17188-00-00  ,  Almeter 1  ,  United States Gypsum Company  ,1987,0.00,2977.00,88.00,12,Not Listed, 
   31-121-20848-00-00  ,  Almeter; D. 1  ,  United States Gypsum Company  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-17776-00-00  ,  Alnatt 1  ,  Lepp Paul N.  ,1987,0.00,351.00,0.00,2,Not Listed, 
   31-013-16381-00-00  ,  Ambrose; R 2  ,  Greenway Energy LLC  ,1987,0.00,16986.00,0.00,12,Not Listed, 
   31-013-16855-00-00  ,  Ambrose; R 3  ,  Greenway Energy LLC  ,1987,0.00,14898.00,23.00,12,Not Listed, 
   31-037-20481-00-00  ,  Amedick; J. 1  ,  United States Gypsum Company  ,1987,0.00,79.00,0.00,0,Not Listed, 
   31-037-20494-00-00  ,  Amedick; J. 2  ,  United States Gypsum Company  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-11648-00-00  ,  Ames (292)  ,  Ames Debra B.  ,1987,0.00,4400.00,0.00,12,Not Listed, 
   31-013-11650-00-00  ,  Ames (295)  ,  Ames Debra B.  ,1987,0.00,3520.00,12.00,12,Not Listed, 
   31-013-18240-00-00  ,  Ames 2  ,  Sheedy John D.  ,1987,0.00,530.00,0.00,12,Not Listed, 
   31-013-09620-00-00  ,  Anderson & Jones 1 5  ,  Greenway Energy LLC  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-11154-00-00  ,  Anderson (150)  ,  Greenway Energy LLC  ,1987,0.00,2334.00,2334.00,9,Not Listed, 
   31-013-11892-00-00  ,  Anderson (416)  ,  Greenway Energy LLC  ,1987,0.00,1786.00,25.00,12,Not Listed, 
   31-013-11493-00-00  ,  Anderson 1  ,  Resource America Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-051-17311-00-00  ,  Anderson 105  ,  PXG Energy LLC  ,1987,0.00,1414.00,1330.00,12,Not Listed, 
   31-051-17380-00-00  ,  Anderson 170  ,  PXG Energy LLC  ,1987,0.00,1513.00,5244.00,12,Not Listed, 
   31-051-17425-00-00  ,  Anderson 185  ,  PXG Energy LLC  ,1987,0.00,1201.00,1344.00,12,Not Listed, 
   31-013-18377-00-00  ,  Anderson 1b  ,  PPP Future Development Inc.  ,1987,0.00,5433.00,0.00,6,Not Listed, 
   31-013-11283-00-00  ,  Anderson 2  ,  Resource America Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-051-17427-00-00  ,  Anderson 2 (192)  ,  PXG Energy LLC  ,1987,0.00,1834.00,1134.00,12,Not Listed, 
   31-051-17460-00-00  ,  Anderson 220  ,  Lenape Resources Corp. The  ,1987,0.00,979.00,4620.00,12,Not Listed, 
   31-013-14248-00-00  ,  Anderson 3  ,  Lenape Resources Corp. The  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-20029-00-00  ,  Anderson 5-B  ,  PPP Future Development Inc.  ,1987,0.00,68304.00,0.00,11,Not Listed, 
   31-013-18937-00-00  ,  Anderson C 3  ,  PPP Future Development Inc.  ,1987,0.00,2177.00,0.00,7,Not Listed, 
   31-013-19348-00-00  ,  Anderson Unit 4  ,  Berea Oil & Gas Corp.  ,1987,0.00,250.00,0.00,3,Not Listed, 
   31-013-19347-00-00  ,  Anderson Unit 5  ,  PPP Future Development Inc.  ,1987,4051.00,4051.00,4.00,12,Not Listed, 
   31-013-17941-00-00  ,  Anderson; B. 1  ,  Hanselman Michael D.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-14297-00-00  ,  Anderson; C 6651  ,  Greenridge Oil Company LLC  ,1987,0.00,2728.00,3.00,10,Not Listed, 
   31-013-17680-00-00  ,  Anderson; D. 1  ,  Champlin Sr. Bryan  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-18041-00-00  ,  Anderson; E 1  ,  Greenway Energy LLC  ,1987,0.00,8927.00,0.00,12,Not Listed, 
   31-013-18042-00-00  ,  Anderson; E 2  ,  Greenway Energy LLC  ,1987,0.00,6215.00,25.00,12,Not Listed, 
   31-013-14310-00-00  ,  Anderson; E 6650  ,  Greenway Energy LLC  ,1987,0.00,1706.00,2.00,10,Not Listed, 
   31-013-14449-00-00  ,  Anderson; E Unit 1  ,  PPP Future Development Inc.  ,1987,0.00,8793.00,100.00,12,Not Listed, 
   31-013-16787-00-00  ,  Anderson; F. Unit 1  ,  Rapp Kenneth E.  ,1987,0.00,1553.00,100.00,12,Not Listed, 
   31-013-17777-00-00  ,  Anderson; G 1  ,  Doran & Associates Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-18299-00-00  ,  Anderson; H 1  ,  Greenway Energy LLC  ,1987,0.00,1544.00,0.00,11,Not Listed, 
   31-013-18510-00-00  ,  Anderson; H 2  ,  Greenway Energy LLC  ,1987,0.00,5507.00,0.00,12,Not Listed, 
   31-013-19721-00-00  ,  Anderson; L. 1  ,  PPP Future Development Inc.  ,1987,0.00,4983.00,100.00,12,Not Listed, 
   31-013-18002-00-00  ,  Anderson; M.A. 1-Ny-0017  ,  PPP Future Development Inc.  ,1987,0.00,2083.00,20.00,6,Not Listed, 
   31-013-18175-00-00  ,  Anderson; P 1  ,  PPP Future Development Inc.  ,1987,0.00,8002.00,0.00,7,Not Listed, 
   31-013-18213-00-00  ,  Anderson; P 2  ,  PPP Future Development Inc.  ,1987,0.00,574.00,80.00,7,Not Listed, 
   31-013-11893-00-00  ,  Anderson; R 1 (418)  ,  Greenway Energy LLC  ,1987,0.00,419.00,10.00,11,Not Listed, 
   31-013-18300-00-00  ,  Anderson; Z 2  ,  Greenway Energy LLC  ,1987,0.00,4839.00,0.00,12,Not Listed, 
   31-013-17758-00-00  ,  Anderson;X 1  ,  Texas Meridian Operating Co.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-20183-00-00  ,  Anderson/Conroe 1  ,  K. Petroleum Inc.  ,1987,0.00,62014.00,2730.00,12,Not Listed, 
   31-013-18026-00-00  ,  Anderson/Mackenzie 163  ,  K. Petroleum Inc.  ,1987,0.00,61215.00,8281.00,12,Not Listed, 
   31-013-19381-00-00  ,  Anderson/Mackenzie 2-283  ,  K. Petroleum Inc.  ,1987,0.00,98907.00,1722.00,12,Not Listed, 
   31-029-14761-00-00  ,  Andres IGC-1175  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-029-14762-00-00  ,  Andres(Niefergold)1178-I  ,  Seneca Resources Corporation  ,1987,0.00,1502.00,15.00,12,Not Listed, 
   31-009-16786-00-00  ,  Andrews 1  ,  Stedman Energy Inc.  ,1987,0.00,3209.00,0.00,9,Not Listed, 
   31-029-18004-00-00  ,  Andzel 1  ,  Stedman Energy Inc.  ,1987,0.00,2867.00,50.00,12,Not Listed, 
   31-009-17723-00-00  ,  Annis R 1  ,  PPP Future Development Inc.  ,1987,0.00,400.00,0.00,12,Not Listed, 
   31-037-15848-00-00  ,  Ansbrow 1  ,  Estate of Joan D. Ansbrow  ,1987,0.00,3148.00,24.00,12,Not Listed, 
   31-029-19719-00-00  ,  Anthony Preischel 4  ,  Amos Zittel & Sons Inc.  ,1987,0.00,3.00,3.00,12,Not Listed, 
   31-029-20747-00-00  ,  Appleton 1  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,1532.00,0.00,12,Not Listed, 
   31-037-17553-00-00  ,  Apps 1  ,  United States Gypsum Company  ,1987,0.00,3789.00,0.00,12,Not Listed, 
   31-121-20782-00-00  ,  Arcade Valley Estates 1  ,  PPP Future Development Inc.  ,1987,0.00,5742.00,0.00,8,Not Listed, 
   31-013-18368-00-00  ,  Archer 1 (668)  ,  Greenway Energy LLC  ,1987,0.00,993.00,65.00,12,Not Listed, 
   31-009-16874-00-00  ,  Archer A 2  ,  Stedman Energy Inc.  ,1987,0.00,663.00,5.00,9,Not Listed, 
   31-009-19980-00-00  ,  Archer A 3  ,  Stedman Energy Inc.  ,1987,0.00,11140.00,3.00,9,Not Listed, 
   31-037-20528-00-00  ,  Aris; J. 1  ,  United States Gypsum Company  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-16615-00-00  ,  Armeli; S 1  ,  Greenway Energy LLC  ,1987,0.00,4650.00,0.00,12,Not Listed, 
   31-013-12667-00-00  ,  Armfelt; O 2 (1458)  ,  Greenway Energy LLC  ,1987,0.00,10828.00,0.00,11,Not Listed, 
   31-029-16605-00-00  ,  Arndt 1  ,  Stedman Energy Inc.  ,1987,0.00,2088.00,0.00,12,Not Listed, 
   31-037-17551-00-00  ,  Arnold 1  ,  United States Gypsum Company  ,1987,0.00,1032.00,0.00,12,Not Listed, 
   31-037-17562-00-00  ,  Arnold 2  ,  United States Gypsum Company  ,1987,0.00,23441.00,15.00,12,Not Listed, 
   31-037-19430-00-00  ,  Arnold 3  ,  United States Gypsum Company  ,1987,0.00,702.00,20.00,12,Not Listed, 
   31-013-18177-00-00  ,  Arrance 1  ,  PPP Future Development Inc.  ,1987,0.00,1471.00,0.00,7,Not Listed, 
   31-051-17426-00-00  ,  Arrigenna 188  ,  Lenape Resources Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-029-20738-00-00  ,  Arrigo/Notaro 1  ,  Stedman Energy Inc.  ,1987,0.00,5269.00,0.00,11,Not Listed, 
   31-029-20733-00-00  ,  Asboth 1  ,  Stedman Energy Inc.  ,1987,0.00,27192.00,150.00,12,Not Listed, 
   31-013-11095-00-00  ,  Assumption; A 1 (103)  ,  Greenway Energy LLC  ,1987,0.00,5881.00,36.00,12,Not Listed, 
   31-013-19063-00-00  ,  Aten-Samuelson 1  ,  Lenape Resources Corp. The  ,1987,127.00,1856.00,26040.00,3,Not Listed, 
   31-075-16814-00-00  ,  Atkinson 1  ,  Atkinson James W. & Patricia  ,1987,0.00,0.00,0.00,0,Not Listed, 
